"id","numero_cte","destinatario_nome","veiculo_placa","valor_total","data_emissao","numero_fatura","data_baixa","observacao","data_inclusao_fatura","data_envio_processo","primeiro_envio","data_rq_tmc","data_atesto","envio_final","origem_dados","created_at","updated_at"
4,20849,"BAKER HUGHES DO BRASIL LTDA","KOR7G99","614.27","2024-06-03","5023580.0",NULL,NULL,NULL,NULL,"2024-06-06","2024-06-03",NULL,NULL,"CSV_CORRIGIDO_V3","2025-08-05 00:14:26.898608+00","2025-08-12 16:02:33.607575+00"
6,840,"BAKER HUGHES DO BRASIL LTDA","KXO7J95","553.30","2024-12-17",NULL,"2025-07-28"," | BAIXA REGISTRADA",NULL,NULL,"2024-12-19","2024-12-17","2025-05-29",NULL,"CSV_CORRIGIDO_V3","2025-08-05 00:14:26.898608+00","2025-08-13 18:05:05.124275+00"
7,21706,"BAKER HUGHES DO BRASIL LTDA","KOR7G99","606.63","2025-02-12","5024399.0",NULL,NULL,NULL,NULL,"2025-02-14","2025-02-12",NULL,NULL,"CSV_CORRIGIDO_V3","2025-08-05 00:14:26.898608+00","2025-08-12 16:02:30.100817+00"
8,933,"BAKER HUGHES DO BRASIL LTDA","KYE1I22","1023.40","2025-05-16",NULL,NULL,NULL,NULL,NULL,"2025-05-19","2025-05-16",NULL,NULL,"CSV_CORRIGIDO_V3","2025-08-05 00:14:26.898608+00","2025-08-12 16:02:28.333007+00"
9,934,"BAKER HUGHES DO BRASIL LTDA","KQO5E26","757.36","2025-05-20","1624.0",NULL,NULL,NULL,NULL,"2025-06-12","2025-05-20",NULL,NULL,"CSV_CORRIGIDO_V3","2025-08-05 00:14:26.898608+00","2025-08-12 16:02:28.333007+00"
10,22147,"EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA","KXO7J95","1753.05","2025-06-03","5024832.0",NULL,NULL,NULL,NULL,NULL,"2025-06-03",NULL,NULL,"CSV_CORRIGIDO_V3","2025-08-05 00:14:26.898608+00","2025-08-12 16:02:28.333007+00"
11,22184,"BAKER HUGHES DO BRASIL LTDA","KOR7G99","570.88","2025-06-12","5024868.0",NULL,NULL,NULL,NULL,"2025-06-16","2025-06-12",NULL,NULL,"CSV_CORRIGIDO_V3","2025-08-05 00:14:26.898608+00","2025-08-12 16:02:28.333007+00"
12,959,"BAKER HUGHES DO BRASIL LTDA","KYE1I22","705.26","2025-06-18",NULL,NULL,NULL,NULL,NULL,NULL,"2025-06-18",NULL,NULL,"CSV_CORRIGIDO_V3","2025-08-05 00:14:26.898608+00","2025-08-12 16:02:28.333007+00"
13,22383,"ENGEMONT USINAGEM E SERVICOS INDUSTRIAIS EIRELI","KPG7I19","5032.39","2025-07-29","5024957.0",NULL,NULL,NULL,NULL,"2025-07-31","2025-07-29","2025-07-30","2025-07-31","CSV_CORRIGIDO_V3","2025-08-05 00:14:26.898608+00","2025-08-12 16:02:26.516823+00"
16,306,"BAKER HUGHES DO BRASIL LTDA","KYE1I22","525.89","2022-09-06","306.0",NULL,NULL,NULL,NULL,"2022-09-06","2022-09-09","2022-10-17","2022-10-21","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:33.607575+00"
17,551,"BAKER HUGHES DO BRASIL LTDA","KXM4C46","1053.20","2023-07-28","1197.0",NULL,NULL,NULL,NULL,"2023-08-04","2023-07-28","2023-08-18","2023-08-25","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:33.607575+00"
18,552,"BAKER HUGHES DO BRASIL LTDA","KQO5E26","2461.48","2023-07-31","1198.0",NULL,NULL,NULL,NULL,"2023-08-04","2023-07-31","2023-08-18","2023-08-22","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:33.607575+00"
19,636,"BAKER HUGHES DO BRASIL LTDA","KYN6481","1449.25","2024-01-11","1297.0",NULL,NULL,NULL,NULL,"2024-01-12","2024-01-11","2024-01-22","2024-01-23","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:33.607575+00"
20,652,"BAKER HUGHES DO BRASIL LTDA","KYN6481","1808.58","2024-01-31","1328.0",NULL,NULL,NULL,NULL,"2024-02-16","2024-01-31","2024-03-05","2024-03-05","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:33.607575+00"
21,711,"BAKER HUGHES DO BRASIL LTDA","KXO7J95","527.52","2024-03-27","1395.0",NULL,NULL,NULL,NULL,"2024-04-02","2024-03-27","2024-04-29","2024-05-03","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:33.607575+00"
22,727,"BAKER HUGHES DO BRASIL LTDA","EMR3D89","1631.58","2024-04-18","1404.0",NULL,NULL,NULL,NULL,"2024-05-01","2024-04-18","2024-05-15","2024-05-15","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:33.607575+00"
23,744,"BAKER HUGHES DO BRASIL LTDA","KYN6481","5203.66","2024-04-30","1444.0",NULL,NULL,NULL,NULL,"2024-05-07","2024-04-30","2024-07-16","2024-07-16","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:33.607575+00"
24,745,"BAKER HUGHES DO BRASIL LTDA","KYN6481","4738.84","2024-04-30","1445.0",NULL,NULL,NULL,NULL,"2024-05-07","2024-04-30","2024-07-16","2024-07-16","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:33.607575+00"
25,762,"BAKER HUGHES DO BRASIL LTDA","KQO5E26","2957.88","2024-05-24","1428.0",NULL,NULL,NULL,NULL,"2024-05-31","2024-05-24","2024-06-05","2024-06-07","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:33.607575+00"
26,823,"BAKER HUGHES DO BRASIL LTDA","KXO7J95","489.47","2024-11-26",NULL,"2025-07-28"," | BAIXA REGISTRADA",NULL,NULL,"2024-11-28","2024-11-26","2025-05-29",NULL,"CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-13 18:05:05.337948+00"
27,824,"BAKER HUGHES DO BRASIL LTDA","KXO7J95","489.47","2024-11-26","1507.0",NULL,NULL,NULL,NULL,"2024-11-28","2024-11-26","2025-02-01","2025-02-01","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:31.859027+00"
28,826,"BAKER HUGHES DO BRASIL LTDA","KPG7I19","1506.74","2024-11-29","1508.0",NULL,NULL,NULL,NULL,"2024-12-04","2024-11-29","2025-02-01","2025-02-01","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:31.859027+00"
29,834,"BAKER HUGHES DO BRASIL LTDA","KQO5E26","1091.27","2024-12-10","1500.0",NULL,NULL,NULL,NULL,"2024-12-16","2024-12-10","2025-02-01","2025-02-01","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:31.859027+00"
30,835,"BAKER HUGHES DO BRASIL LTDA","EMR3D89","1064.73","2024-12-12","1511.0",NULL,NULL,NULL,NULL,"2024-12-16","2024-12-12","2025-02-04","2025-02-04","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:31.859027+00"
31,836,"BAKER HUGHES DO BRASIL LTDA","KXO7J95","398.08","2024-12-13","1501.0",NULL,NULL,NULL,NULL,"2024-12-18","2024-12-13","2025-02-01","2025-02-01","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:31.859027+00"
32,837,"BAKER HUGHES DO BRASIL LTDA","KXO7J95","215.78","2024-12-13","1502.0",NULL,NULL,NULL,NULL,"2024-12-17","2024-12-13","2025-02-01","2025-02-01","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:31.859027+00"
33,838,"BAKER HUGHES DO BRASIL LTDA","EMR3D89","985.38","2024-12-17","1503.0",NULL,NULL,NULL,NULL,"2024-12-19","2024-12-17","2025-02-01","2025-02-01","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:31.859027+00"
34,839,"BAKER HUGHES DO BRASIL LTDA","KQO5E26","607.05","2024-12-17","1504.0",NULL,NULL,NULL,NULL,"2024-12-19","2024-12-17","2025-02-01","2025-02-01","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:31.859027+00"
36,846,"BAKER HUGHES DO BRASIL LTDA","EMR3D89","1568.78","2024-12-27",NULL,NULL,NULL,NULL,NULL,"2025-01-03","2024-12-27","2025-02-01","2025-02-01","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:31.859027+00"
37,847,"BAKER HUGHES DO BRASIL LTDA","KQO5E26","1281.18","2024-12-27",NULL,NULL,NULL,NULL,NULL,"2025-01-06","2024-12-27","2025-02-01","2025-02-01","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:31.859027+00"
38,852,"BAKER HUGHES DO BRASIL LTDA","KXO7J95","1078.94","2025-01-07",NULL,NULL,NULL,NULL,NULL,"2025-01-10","2025-01-07","2025-02-04","2025-02-04","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:31.859027+00"
39,857,"BAKER HUGHES DO BRASIL LTDA","KQO5E26","560.66","2025-01-15",NULL,NULL,NULL,NULL,NULL,"2025-01-16","2025-01-15","2025-02-05","2025-02-05","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:31.859027+00"
40,858,"BAKER HUGHES DO BRASIL LTDA","KXO7J95","545.84","2025-01-16","1523.0",NULL,NULL,NULL,NULL,"2025-01-17","2025-01-16","2025-02-05","2025-02-05","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:31.859027+00"
41,859,"BAKER HUGHES DO BRASIL LTDA","KQO5E26","2433.31","2025-01-16","1525.0",NULL,NULL,NULL,NULL,"2025-01-28","2025-01-16","2025-02-13","2025-02-13","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:31.859027+00"
42,860,"BAKER HUGHES DO BRASIL LTDA","KXO7J95","845.26","2025-01-17","1524.0",NULL,NULL,NULL,NULL,"2025-01-28","2025-01-17","2025-02-13","2025-02-13","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:31.859027+00"
43,861,"BAKER HUGHES DO BRASIL LTDA","KXO7J95","626.31","2025-01-17","1526.0",NULL,NULL,NULL,NULL,"2025-01-28","2025-01-17","2025-02-13","2025-02-13","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:31.859027+00"
44,862,"BAKER HUGHES DO BRASIL LTDA","KXO7J95","528.42","2025-01-20","1527.0",NULL,NULL,NULL,NULL,"2025-01-28","2025-01-20","2025-02-13","2025-02-13","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:31.859027+00"
45,863,"BAKER HUGHES DO BRASIL LTDA","KOR7G99","935.15","2025-01-22",NULL,NULL,NULL,NULL,NULL,NULL,"2025-01-22","2025-05-21","2025-05-21","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:31.859027+00"
46,865,"BAKER HUGHES DO BRASIL LTDA","KYN6481","1059.91","2025-01-23",NULL,NULL,NULL,NULL,NULL,"2025-01-30","2025-01-23","2025-02-21","2025-02-21","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:31.859027+00"
47,866,"BAKER HUGHES DO BRASIL LTDA","KYN6481","6191.72","2025-01-24","1528.0",NULL,NULL,NULL,NULL,"2025-01-31","2025-01-24","2025-02-13","2025-02-13","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:30.100817+00"
48,867,"BAKER HUGHES DO BRASIL LTDA","KXO7J95","772.84","2025-01-24","1529.0",NULL,NULL,NULL,NULL,"2025-01-31","2025-01-24","2025-02-13","2025-02-13","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:30.100817+00"
49,868,"BAKER HUGHES DO BRASIL LTDA","KXO7J95","556.34","2025-01-24",NULL,NULL,NULL,NULL,NULL,"2025-01-31","2025-01-24","2025-05-21","2025-05-21","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:30.100817+00"
50,869,"EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA","KXO7J95","528.73","2025-01-27","1530.0",NULL,NULL,NULL,NULL,"2025-02-03","2025-01-27","2025-02-13","2025-02-13","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:30.100817+00"
51,870,"EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA","KQO5E26","526.31","2025-01-28","1531.0",NULL,NULL,NULL,NULL,"2025-02-03","2025-01-28","2025-02-13","2025-02-13","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:30.100817+00"
52,872,"BAKER HUGHES DO BRASIL LTDA","KQO5E26","2634.72","2025-01-29","1532.0",NULL,NULL,NULL,NULL,"2025-02-03","2025-01-29","2025-02-13","2025-02-13","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:30.100817+00"
53,873,"BAKER HUGHES DO BRASIL LTDA","EMR3D89","5794.68","2025-01-30","1533.0",NULL,NULL,NULL,NULL,"2025-02-03","2025-01-30","2025-02-13","2025-02-13","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:30.100817+00"
54,874,"BAKER HUGHES DO BRASIL LTDA","KYN6481","1114.46","2025-01-31","1534.0",NULL,NULL,NULL,NULL,"2025-02-03","2025-01-31","2025-02-19","2025-02-19","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:30.100817+00"
55,877,"BAKER HUGHES DO BRASIL LTDA","EMR3D89","1891.17","2025-02-11","1541.0",NULL,NULL,NULL,NULL,"2025-02-14","2025-02-11","2025-03-05","2025-03-05","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:30.100817+00"
56,878,"BAKER HUGHES DO BRASIL LTDA","KQO5E26","582.74","2025-02-11","1540.0",NULL,NULL,NULL,NULL,"2025-02-14","2025-02-11","2025-03-05","2025-03-05","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:30.100817+00"
57,880,"BAKER HUGHES DO BRASIL LTDA","KOR7G99","617.82","2025-02-14","1575.0",NULL,NULL,NULL,NULL,"2025-02-18","2025-02-14","2025-05-21","2025-05-21","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:30.100817+00"
58,881,"BAKER HUGHES DO BRASIL LTDA","KYN6481","5543.78","2025-02-17","1543.0",NULL,NULL,NULL,NULL,"2025-02-24","2025-02-17","2025-03-12","2025-03-12","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:30.100817+00"
59,904,"BAKER HUGHES DO BRASIL LTDA","KQO5E26","1459.47","2025-03-14","1565.0",NULL,NULL,NULL,NULL,"2025-03-17","2025-03-14","2025-05-06","2025-05-06","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:30.100817+00"
60,906,"BAKER HUGHES DO BRASIL LTDA","KXO7J95","1137.55","2025-03-18","1566.0",NULL,NULL,NULL,NULL,"2025-03-24","2025-03-18","2025-05-06","2025-05-06","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:30.100817+00"
61,907,"BAKER HUGHES DO BRASIL LTDA","KQO5E26","1214.18","2025-03-18","1567.0",NULL,NULL,NULL,NULL,"2025-03-24","2025-03-18","2025-05-06","2025-05-06","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:30.100817+00"
62,912,"BAKER HUGHES DO BRASIL LTDA","KQO5E26","3283.73","2025-03-26","1569.0",NULL,NULL,NULL,NULL,"2025-03-28","2025-03-26","2025-05-06","2025-05-06","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:30.100817+00"
63,913,"BAKER HUGHES DO BRASIL LTDA","KXO7J95","905.26","2025-03-27","1568.0",NULL,NULL,NULL,NULL,"2025-03-28","2025-03-27","2025-05-06","2025-05-06","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:30.100817+00"
64,914,"BAKER HUGHES DO BRASIL LTDA","KXO7J95","526.42","2025-03-27","1570.0",NULL,NULL,NULL,NULL,"2025-03-28","2025-03-27","2025-05-06","2025-05-06","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:30.100817+00"
65,915,"BAKER HUGHES DO BRASIL LTDA","KXO7J95","632.47","2025-03-28",NULL,NULL,NULL,NULL,NULL,"2025-04-03","2025-03-28","2025-05-21","2025-05-21","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:30.100817+00"
66,920,"BAKER HUGHES DO BRASIL LTDA","KYN6481","1374.23","2025-04-08","1572.0",NULL,NULL,NULL,NULL,"2025-04-15","2025-04-08","2025-05-21","2025-05-21","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:30.100817+00"
67,921,"BAKER HUGHES DO BRASIL LTDA","KXO7J95","1061.05","2025-04-11","1573.0",NULL,NULL,NULL,NULL,"2025-04-15","2025-04-15","2025-05-21","2025-05-21","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:30.100817+00"
68,922,"BAKER HUGHES DO BRASIL LTDA","KYN6481","1250.37","2025-04-09","1574.0",NULL,NULL,NULL,NULL,"2025-04-15","2025-04-09","2025-05-21","2025-05-21","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:30.100817+00"
69,923,"BAKER HUGHES DO BRASIL LTDA","KYE1I22","4426.82","2025-04-04","1576.0",NULL,NULL,NULL,NULL,"2025-04-29","2025-04-04","2025-05-21","2025-05-21","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:30.100817+00"
70,924,"BAKER HUGHES DO BRASIL LTDA","KQO5E26","631.57","2025-04-30","1577.0",NULL,NULL,NULL,NULL,"2025-05-06","2025-04-30","2025-05-21","2025-05-21","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:30.100817+00"
71,925,"BAKER HUGHES DO BRASIL LTDA","KXO7J95","668.42","2025-05-06","1578.0",NULL,NULL,NULL,NULL,"2025-05-08","2025-05-06","2025-05-21","2025-05-21","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:28.333007+00"
72,926,"BAKER HUGHES DO BRASIL LTDA","KYN6481","3314.46","2025-05-06","1579.0",NULL,NULL,NULL,NULL,"2025-05-08","2025-05-06","2025-05-21","2025-05-21","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:28.333007+00"
73,927,"BAKER HUGHES DO BRASIL LTDA","KXO7J95","965.43","2025-05-07","1580.0",NULL,NULL,NULL,NULL,"2025-05-08","2025-05-07","2025-05-21","2025-05-21","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:28.333007+00"
76,940,"BAKER HUGHES DO BRASIL LTDA","KXO7J95","957.89","2025-05-29","1609.0","2025-08-06"," | BAIXA REGISTRADA",NULL,NULL,"2025-06-09","2025-05-29","2025-06-18","2025-06-18","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-13 18:36:57.064137+00"
77,941,"BAKER HUGHES DO BRASIL LTDA","KXO7J95","732.38","2025-05-30","1610.0","2025-08-06"," | BAIXA REGISTRADA",NULL,NULL,"2025-06-09","2025-05-30","2025-06-18","2025-06-18","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-13 18:36:57.271824+00"
78,942,"BAKER HUGHES DO BRASIL LTDA","KYN6481","1255.94","2025-06-03","1611.0","2025-08-06"," | BAIXA REGISTRADA",NULL,NULL,"2025-06-09","2025-06-03","2025-06-18","2025-06-18","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-13 18:36:57.711338+00"
79,943,"BAKER HUGHES DO BRASIL LTDA","KXO7J95","1162.10","2025-06-03","1612.0","2025-08-06"," | BAIXA REGISTRADA",NULL,NULL,"2025-06-09","2025-06-03","2025-06-18","2025-06-18","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-13 18:36:57.486546+00"
80,945,"BAKER HUGHES DO BRASIL LTDA","KXO7J95","1058.27","2025-06-05","1623.0",NULL,NULL,NULL,NULL,"2025-06-12","2025-06-05","2025-07-04","2025-07-04","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:28.333007+00"
81,946,"BAKER HUGHES DO BRASIL LTDA",NULL,"1055.78","2025-06-06",NULL,"2025-07-28"," | BAIXA REGISTRADA",NULL,NULL,NULL,"2025-06-06",NULL,NULL,"CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-13 18:05:13.556286+00"
82,947,"BAKER HUGHES DO BRASIL LTDA","KYN6481","897.55","2025-06-06","1621.0",NULL,NULL,NULL,NULL,"2025-06-12","2025-06-06","2025-07-04","2025-07-04","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:28.333007+00"
83,948,"BAKER HUGHES DO BRASIL LTDA","KYN6481","1405.11","2025-06-09","1620.0",NULL,NULL,NULL,NULL,"2025-06-12","2025-06-09","2025-07-04","2025-07-04","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:28.333007+00"
84,949,"BAKER HUGHES DO BRASIL LTDA","KYE1I22","536.31","2025-06-10","1619.0",NULL,NULL,NULL,NULL,"2025-06-12","2025-06-10","2025-07-04","2025-07-04","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:28.333007+00"
85,950,"BAKER HUGHES DO BRASIL LTDA","KYE1I22","526.31","2025-06-10","1618.0",NULL,NULL,NULL,NULL,"2025-06-12","2025-06-10","2025-07-03","2025-07-03","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:28.333007+00"
86,951,"BAKER HUGHES DO BRASIL LTDA","KXO7J95","566.63","2025-06-10","1617.0",NULL,NULL,NULL,NULL,"2025-06-12","2025-06-10","2025-07-03","2025-07-03","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:28.333007+00"
87,952,"BAKER HUGHES DO BRASIL LTDA","KXO7J95","635.85","2025-06-12","1616.0",NULL,NULL,NULL,NULL,"2025-06-12","2025-06-12","2025-07-17","2025-07-17","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:28.333007+00"
88,954,"BAKER HUGHES DO BRASIL LTDA","KYN6481","4153.18","2025-06-13","1615.0",NULL,NULL,NULL,NULL,"2025-06-17","2025-06-13","2025-07-03","2025-07-03","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:28.333007+00"
89,955,"BAKER HUGHES DO BRASIL LTDA","KXO7J95","705.26","2025-06-14","1614.0",NULL,NULL,NULL,NULL,"2025-06-17","2025-06-14","2025-07-03","2025-07-03","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:28.333007+00"
90,956,"BAKER HUGHES DO BRASIL LTDA","KYE1I22","6249.24","2025-06-18","1625.0",NULL,NULL,NULL,NULL,"2025-07-03","2025-06-18","2025-07-04","2025-07-04","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:28.333007+00"
91,957,"BAKER HUGHES DO BRASIL LTDA","KPG7I19","535.78","2025-06-18","1626.0",NULL,NULL,NULL,NULL,"2025-05-13","2025-06-18","2025-07-16","2025-07-17","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:28.333007+00"
92,958,"BAKER HUGHES DO BRASIL LTDA","KPG7I19","952.18","2025-06-18","1627.0",NULL,NULL,NULL,NULL,"2025-07-17","2025-06-18","2025-07-16","2025-07-17","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:28.333007+00"
94,960,"BAKER HUGHES DO BRASIL LTDA","KYN6481","1653.68","2025-06-18","1628.0",NULL,NULL,NULL,NULL,"2025-07-17","2025-06-18","2025-07-16","2025-07-17","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:28.333007+00"
95,961,"BAKER HUGHES DO BRASIL LTDA","KPG7I19","1325.67","2025-06-26","1629.0",NULL,NULL,NULL,NULL,"2025-07-17","2025-06-26","2025-07-16","2025-07-17","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:28.333007+00"
96,962,"BAKER HUGHES DO BRASIL LTDA","KYN6481","1035.13","2025-06-26","1630.0",NULL,NULL,NULL,NULL,"2025-07-17","2025-06-26","2025-07-16","2025-07-17","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:28.333007+00"
97,963,"BAKER HUGHES DO BRASIL LTDA","KOR7G99","532.76","2025-07-01","1631.0",NULL,NULL,NULL,NULL,"2025-07-17","2025-07-01","2025-07-16","2025-07-17","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:28.333007+00"
98,964,"BAKER HUGHES DO BRASIL LTDA","KYN6481","878.94","2025-06-25","1632.0",NULL,NULL,NULL,NULL,"2025-07-17","2025-06-25","2025-07-16","2025-07-17","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:28.333007+00"
99,965,"BAKER HUGHES DO BRASIL LTDA","KOR7G99","2848.40","2025-07-02","1633.0",NULL,NULL,NULL,NULL,"2025-07-17","2025-07-02","2025-07-16","2025-07-17","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:28.333007+00"
100,966,"BAKER HUGHES DO BRASIL LTDA","KYN6481","4242.10","2025-07-08",NULL,NULL,NULL,NULL,NULL,"2025-07-24","2025-07-08",NULL,NULL,"CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:28.333007+00"
101,967,"BAKER HUGHES DO BRASIL LTDA","KYN6481","1687.31","2025-07-16",NULL,NULL,NULL,NULL,NULL,"2025-07-24","2025-07-16","2025-08-06","2025-08-06","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:28.333007+00"
102,968,"BAKER HUGHES DO BRASIL LTDA","KYN6481","1709.60","2025-07-17",NULL,NULL,NULL,NULL,NULL,"2025-07-24","2025-07-17","2025-08-06","2025-08-06","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:26.516823+00"
103,969,"BAKER HUGHES DO BRASIL LTDA","KQO5E26","972.14","2025-07-18",NULL,NULL,NULL,NULL,NULL,"2025-07-24","2025-07-18","2025-08-06","2025-08-07","CSV_CORRIGIDO_V3","2025-08-07 16:07:58.230041+00","2025-08-12 16:02:26.516823+00"
